	Street	Neighborhood	City	Price €	Rooms	Surface	Floor	Exterior	Elevator
34	Piso en Almagro	 	 Madrid	175900	4	295 m²	6ª	Yes	Yes
4	Dúplex en calle Alconera  7	 Hellín	 Madrid	175900	3	70 m²	3ª	Yes	Yes
94	Piso en calle de Núñez de Balboa	 Recoletos	 Madrid	175900	5	241 m²	5ª	Yes	Yes
160	Piso en Chueca-Justicia	 	 Madrid	260000	1	50 m²	1ª	No	Yes
159	Piso en Malasaña-Universidad	 	 Madrid	339000	3	104 m²	2ª	Yes	Yes
33	Dúplex en Almagro	 	 Madrid	345000	3	273 m²	 	Yes	Yes
93	Piso en calle de San Marcos	 Chueca-Justicia	 Madrid	345000	2	234 m²	 	Yes	Yes
3	Piso en calle de las Delicias	 Palos de Moguer	 Madrid	345000	2	64 m²	1ª	No	Yes
129	Casa o chalet independiente en Valdemarín	 	 Madrid	435000	5	425 m²	 	 	 
174	Casa o chalet independiente en El Plantío	 	 Madrid	435000	7	1.100 m²	 	 	 
69	Piso en avenida de portugal	 Puerta del Ángel	 Madrid	435000	2	100 m²	1ª	Yes	Yes
127	Piso en Aravaca	 	 Madrid	455000	4	240 m²	2ª	Yes	 
67	Piso en Ibiza	 	 Madrid	455000	3	121 m²	2ª	Yes	Yes
37	Piso en El Viso	 	 Madrid	490000	2	84 m²	6ª	No	Yes
167	Piso en Goya	 	 Madrid	490000	3	151 m²	2ª	Yes	Yes
7	Piso en avenida de Badajoz  13	 San Pascual	 Madrid	490000	3	108 m²	11ª	Yes	Yes
97	Piso en calle santa cruz de marcenado	 Malasaña-Universidad	 Madrid	490000	3	187 m²	2ª	Yes	Yes
19	Piso en calle Independencia	 Palacio	 Madrid	549000	3	139 m²	1ª	Yes	Yes
109	Casa o chalet independiente en Mirasierra	 	 Madrid	549000	3	148 m²	 	 	 
49	Piso en calle Lope de Rueda	 Goya	 Madrid	549000	4	171 m²	2ª	Yes	Yes
176	Ático en Lista	 	 Madrid	589000	5	227 m²	6ª	Yes	Yes
120	Casa o chalet independiente en Aravaca	 	 Madrid	615000	6	488 m²	 	 	 
60	Casa o chalet independiente en calle Alhena	 Aravaca	 Madrid	615000	6	488 m²	 	 	 
156	Piso en calle de Goya	 Goya	 Madrid	670000	5	183 m²	1ª	Yes	Yes
27	Ático en calle de María de Molina	 Lista	 Madrid	670000	2	103 m²	7ª	Yes	Yes
117	Piso en Aravaca	 	 Madrid	670000	4	141 m²	1ª	Yes	 
57	Casa o chalet independiente en calle Virgen de los Rosales	 Aravaca	 Madrid	670000	5	1.055 m²	 	 	 
75	Casa o chalet independiente en calle Conde Orgaz	 Conde Orgaz-Piovera	 Madrid	670000	8	798 m²	 	 	 
135	Piso en paseo de la Reina Cristina	 Jerónimos	 Madrid	670000	4	140 m²	4ª	Yes	Yes
24	Piso en calle de Velázquez	 Recoletos	 Madrid	690000	1	91 m²	6ª	No	Yes
54	Chalet adosado en calle Araquil	 Aravaca	 Madrid	690000	5	270 m²	 	 	 
114	Piso en Almagro	 	 Madrid	690000	3	218 m²	7ª	Yes	Yes
132	Ático en Valdebebas - Valdefuentes	 	 Madrid	700000	4	256 m²	8ª	Yes	Yes
72	Piso en Mirasierra	 	 Madrid	700000	6	310 m²	2ª	Yes	Yes
168	Piso en Fuentelarreina	 	 Madrid	710000	6	302 m²	5ª	Yes	Yes
90	Piso en sor angela de la cruz	 Cuzco-Castillejos	 Madrid	740000	6	254 m²	11ª	Yes	Yes
95	Chalet adosado en Conde Orgaz-Piovera	 	 Madrid	740000	6	406 m²	 	 	 
0	Piso en calle del General Oraá	 Lista	 Madrid	740000	3	137 m²	1ª	Yes	Yes
35	Ático en Valdemarín	 	 Madrid	740000	5	340 m²	2ª	Yes	Yes
30	Piso en Recoletos	 	 Madrid	740000	1	87 m²	2ª	No	 
5	Piso en DON RAMÓN DE LA CRUZ	 Goya	 Madrid	740000	2	121 m²	5ª	Yes	Yes
18	Piso en portal de belen	 Niño Jesús	 Madrid	748000	2	120 m²	2ª	No	Yes
48	Piso en calle del Príncipe de Vergara	 Recoletos	 Madrid	748000	3	348 m²	2ª	Yes	Yes
